FID,FID_1,OBJECTID,StopId,StopName,Lon,Lat,Comments,tpField00,FacingDir,CurbType,InService,Bench,Shelter,Lighting,Garbage,Telephone,SignPost,Bicycle,Transfer,UserShort3,UserShort4,UserShort5,tpField01,tpField02,tpField03,tpField04,tpField05,tpField06,tpField07,tpField08,tpField09,LineAbbr,LineName,LineType,LineList,GlobalID,CreationDa,Creator,EditDate,Editor
0,296.000000000000000,296.000000000000000,36.000000000000000,HANSON ST & E MAIN ST,-82779030.000000000000000,39956666.000000000000000, ,Far,N, ,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0, , ,0, ,0,0,0,002,E MAIN/N HIGH,FX,002,eeffa5c9-c8af-4c9d-9adc-a12a72e40c9a,,COTA1974,,COTA1974
1,1580.000000000000000,1580.000000000000000,54.000000000000000,W MOUND ST & S WAYNE AVE,-83062991.000000000000000,39938547.000000000000000, ,Far,W, ,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0, , ,0, ,0,0,0,009,W MOUND/BRENTNELL,FX,009,0dc0d224-b800-4cb7-a723-19d163a43660,,COTA1974,,COTA1974
2,1185.000000000000000,1185.000000000000000,281.000000000000000,MORSE CROSSING & EASTON WAY,-82920331.000000000000000,40048117.000000000000000, ,Far,S, ,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,007,MT VERNON,FX,"007, 023, 032",620ac7fc-0d46-455f-b7ce-2571140e5892,,COTA1974,,COTA1974
3,2746.000000000000000,2746.000000000000000,411.000000000000000,COTA TRANSIT TERMINAL BAY 4,-82999083.000000000000000,39957159.000000000000000, ,Mid,N, ,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,041,CROSSWOODS-POLARIS,FX,"041, 044",b86ca0d3-c38d-44af-805a-32db55c9b769,,COTA1974,,COTA1974
4,2871.000000000000000,2871.000000000000000,427.000000000000000,COTA TRANSIT TERMINAL BAY 7,-82998852.000000000000000,39956582.000000000000000, ,Mid,S, ,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,072,TUTTLE,FX,"072, 074",f972fb82-b92e-4636-880f-b5ab61d0dad3,,COTA1974,,COTA1974
5,969.000000000000000,969.000000000000000,429.000000000000000,SPRING ST TERMINAL BAY 2,-83002424.000000000000000,39965888.000000000000000, ,Mid,SE, ,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,006,CLEVELAND/SULLIVANT,FX,006,80a733af-6f53-460b-b6d9-b827fbf85166,,COTA1974,,COTA1974
6,1079.000000000000000,1079.000000000000000,440.000000000000000,SPRING ST TERMINAL BAY 3,-83002412.000000000000000,39965808.000000000000000, ,Mid,SE, ,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,007,MT VERNON,FX,"007, 061",71998621-bfaf-4741-8d2e-b8782f2fbe05,,COTA1974,,COTA1974
7,2877.000000000000000,2877.000000000000000,454.000000000000000,COTA TRANSIT TERMINAL BAY 9,-82998815.000000000000000,39956385.000000000000000, ,Mid,S, ,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,073,DUBLIN,FX,073,d5e66a79-5f9a-45b2-97fd-40c06b51835b,,COTA1974,,COTA1974
8,1289.000000000000000,1289.000000000000000,455.000000000000000,SPRING ST TERMINAL BAY 4,-83002388.000000000000000,39965718.000000000000000, ,Mid,SE, ,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,008,KARL/S HIGH/PARSONS,FX,008,110933a4-6707-4c9f-884f-a9d51323e931,,COTA1974,,COTA1974
9,1942.000000000000000,1942.000000000000000,467.000000000000000,COTA TRANSIT TERMINAL BAY 3,-82998932.000000000000000,39957014.000000000000000, ,Mid,S, ,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , ,013,ARLINGTON/1ST AVE,FX,"013, 071",36a718c6-9106-4aad-b3ef-94d08b81db6e,,COTA1974,,COTA1974
